colony,depth,date,reef,score,mortality,C.SH,D.SH,tot.SH,propD,syms,dom,tdom,vis,days,year
1,5,10/24/14,HIMB,1,0,0.012346028,NA,0.012346028,0,C,C,C,bleached,0,y1
1,5,11/4/14,HIMB,1,0,0.021994088,NA,0.021994088,0,C,C,C,bleached,11,y1
1,5,11/24/14,HIMB,1,0,0.017473972,8.58E-05,0.017559805,0.004888011,CD,C,C,bleached,31,y1
1,5,12/16/14,HIMB,2,0,0.002198361,NA,0.002198361,0,C,C,C,bleached,53,y1
1,5,1/14/15,HIMB,NA,missing,NA,NA,NA,NA,NA,NA,NA,NA,82,y1
1,5,5/6/15,HIMB,NA,missing,NA,NA,NA,NA,NA,NA,NA,NA,194,y1
1,5,8/11/15,HIMB,NA,missing,NA,NA,NA,NA,NA,NA,NA,NA,291,y2
1,5,9/14/15,HIMB,NA,missing,NA,NA,NA,NA,NA,NA,NA,NA,325,y2
1,5,10/1/15,HIMB,NA,missing,NA,NA,NA,NA,NA,NA,NA,NA,342,y2
1,5,10/21/15,HIMB,NA,missing,NA,NA,NA,NA,NA,NA,NA,NA,362,y2
1,5,11/4/15,HIMB,NA,missing,NA,NA,NA,NA,NA,NA,NA,NA,376,y2
1,5,12/17/15,HIMB,NA,missing,NA,NA,NA,NA,NA,NA,NA,NA,419,y2
1,5,1/20/16,HIMB,NA,missing,NA,NA,NA,NA,NA,NA,NA,NA,453,y2
1,5,2/11/16,HIMB,NA,missing,NA,NA,NA,NA,NA,NA,NA,NA,475,y2
109,6,10/24/14,44,1,0,0.001674141,NA,0.001674141,0,C,C,C,bleached,0,y1
109,6,11/4/14,44,2,0,0.004335889,NA,0.004335889,0,C,C,C,bleached,11,y1
109,6,11/24/14,44,2,0,0.011369348,NA,0.011369348,0,C,C,C,bleached,31,y1
109,6,12/16/14,44,2,0,0.119191463,NA,0.119191463,0,C,C,C,bleached,53,y1
109,6,1/14/15,44,2,0,NA,NA,NA,NA,NA,NA,NA,NA,82,y1
109,6,5/6/15,44,3,0,0.023995333,NA,0.023995333,0,C,C,C,bleached,194,y1
109,6,8/11/15,44,2,0,0.010206935,0,0.010206935,0,C,C,C,bleached,291,y2
109,6,9/14/15,44,1,0,0.013889549,0,0.013889549,0,C,C,C,bleached,325,y2
109,6,10/1/15,44,1,0,0.007057845,0,0.007057845,0,C,C,C,bleached,342,y2
109,6,10/21/15,44,1,0,NA,NA,NA,NA,NA,NA,NA,NA,362,y2
109,6,11/4/15,44,2,0,0.196969418,0,0.196969418,0,C,C,C,bleached,376,y2
109,6,12/4/15,44,NA,NA,0.081777261,0,0.081777261,0,C,C,C,bleached,406,y2
109,6,12/17/15,44,2,1,0.199802086,0,0.199802086,0,C,C,C,bleached,419,y2
109,6,1/20/16,44,2,1,0.016177624,0,0.016177624,0,C,C,C,bleached,453,y2
109,6,2/11/16,44,2,1,0.198862555,0,0.198862555,0,C,C,C,bleached,475,y2
109,6,3/31/16,44,NA,NA,0.046626487,0,0.046626487,0,C,C,C,bleached,524,y2
11,2,10/24/14,HIMB,1,0,0.009122883,NA,0.009122883,0,C,C,C,bleached,0,y1
11,2,11/4/14,HIMB,1,0,0.003098331,NA,0.003098331,0,C,C,C,bleached,11,y1
11,2,11/24/14,HIMB,1,0,0.01403928,NA,0.01403928,0,C,C,C,bleached,31,y1
11,2,12/16/14,HIMB,1,0,0.000786589,NA,0.000786589,0,C,C,C,bleached,53,y1
11,2,1/14/15,HIMB,1,1,0.021440383,NA,0.021440383,0,C,C,C,bleached,82,y1
11,2,5/6/15,HIMB,2,1,0.043743039,NA,0.043743039,0,C,C,C,bleached,194,y1
11,2,8/11/15,HIMB,2,1,0.137813923,0,0.137813923,0,C,C,D,bleached,291,y2
11,2,9/14/15,HIMB,1,1,0.002719663,0,0.002719663,0,C,C,D,bleached,325,y2
11,2,10/1/15,HIMB,1,1,0,0,2.00E-05,NA,NA,NA,D,bleached,342,y2
11,2,10/21/15,HIMB,1,1,2.55E-05,0,2.55E-05,0,C,C,D,bleached,362,y2
11,2,11/4/15,HIMB,1,1,0,0,2.00E-05,NA,NA,NA,D,bleached,376,y2
11,2,12/4/15,HIMB,NA,NA,0,0.513311032,0.513311032,1,D,D,D,bleached,406,y2
