Reef_#,Species,Colony_#,10/24/2014,11/4/2014,11/24/2014,12/16/2014,1/13/2015,2/10/2015,3/10/2015,5/6/2015,6/5/2015,7/14/2015,8/11/2015,9/14/2015,10/1/2015,10/21/2015,11/4/2015,12/17/2015,1/20/2016,2/11/2016,3/31/2016,5/12/2016
25,M_cap,52,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
25,M_cap,54,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
25,M_cap,58,3,3,3,3,3,3,3,3,3,2,2,2,2,3,3,3,3,3,3,2
25,M_cap,66,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
25,M_cap,70,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
25,M_cap,72,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
25,M_cap,78,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3
25,M_cap,80,3,3,3,3,3,3,3,2,2,1,0,0,0,0,0,0,0,0,0,0
25,M_cap,84,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
25,M_cap,92,3,3,3,3,missing-rolled down the hill,,,,,,,,,,,,,,,
25,M_cap,51,1,1,1,2,2,2,2,3,2,2,2,1,1,1,1,2,2,3,3,3
25,M_cap,53,1,1,2,3,3,3,3,3,3,3,2,1,1,1,2,2,3,3,3,3
25,M_cap,57,1,1,1,2,2,3,3,3,3,3,2,1,1,1,1,2,2,3,3,3
25,M_cap,65,1,2,2,2,2,3,3,3,3,2,2,1,2,2,2,3,3,3,3,3
25,M_cap,69,1,1,2,2,2,2,3,3,3,2,2,2,1,1,1,2,3,3,3,3
25,M_cap,71,1,1,1,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,3
25,M_cap,77,1,1,1,2,2,2,3,3,2,2,2,1,1,1,1,2,2,2,2,2
25,M_cap,79,1,1,1,1,2,2,3,3,3,2,2,2,1,1,1,2,2,3,3,3
25,M_cap,83,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,3,3,2
25,M_cap,91,1,2,2,2,,,,,,,,,,,,,,,,
25,P_comp,56,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
25,P_comp,60,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
25,P_comp,62,2,2,3,3,3,3,3,3,3,3,2,2,2,3,3,3,3,3,3,3
25,P_comp,64,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
25,P_comp,68,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
25,P_comp,74,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,3,3,3,3,3
25,P_comp,82,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
25,P_comp,86,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3
25,P_comp,94,2,3,3,3,3,3,3,3,3,2,2,2,2,2,3,3,3,3,3,3
25,P_comp,96,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,3,3,3,3,3
25,P_comp,55,1,1,2,2,3,3,3,3,3,2,2,1,1,1,1,3,3,3,3,3
25,P_comp,59,1,2,2,3,3,3,3,3,3,2,2,1,1,1,2,2,3,3,3,3
25,P_comp,61,1,2,2,3,3,3,3,3,3,2,2,2,1,2,2,3,3,3,3,3
25,P_comp,63,1,2,2,3,3,3,3,3,2,2,2,1,1,1,2,2,2,2,2,3
25,P_comp,67,1,2,2,3,3,3,3,3,2,2,2,1,1,1,1,2,2,3,3,3
25,P_comp,73,1,2,2,3,3,3,3,3,3,2,2,1,1,1,2,3,3,3,3,3
25,P_comp,81,1,2,2,2,3,3,3,3,2,2,2,1,1,2,2,3,3,3,3,3
25,P_comp,85,1,1,2,2,3,3,3,3,3,2,2,1,1,1,1,3,3,3,3,3
25,P_comp,93,1,1,2,3,3,3,3,2,2,2,2,1,1,1,2,3,3,3,3,3
25,P_comp,95,1,1,2,3,3,3,3,3,3,2,2,1,1,1,2,3,3,3,3,3
25,P_dam,76,1,2,2,3,3,3,3,3,2,2,1,2,1,2,3,3,3,3,0,0
25,P_dam,75,1,2,3,3,3,3,3,2,2,2,2,1,1,1,2,3,3,3,3,3
25,P_dam,87,1,1,2,2,3,3,3,3,3,3,2,1,1,1,1,2,3,3,3,3
25,P_dam,88,1,1,2,2,3,3,3,3,3,2,1,1,1,1,1,2,2,3,3,3
25,P_dam,89,1,1,2,2,3,3,3,3,3,3,2,2,1,2,2,3,3,3,3,3
25,P_dam,90,1,,,,,,,,,,,,,,,,3,3,3,3
25,P_dam,97,1,1,2,2,3,3,2,2,2,2,2,2,1,2,3,3,3,3,3,3
25,P_dam,98,1,1,2,2,3,3,3,3,3,2,2,1,1,2,2,3,3,3,3,3
25,P_dam,99,1,2,3,3,3,3,3,3,3,3,2,2,1,2,3,3,3,3,3,3
25,P_dam,100,1,1,1,2,2,2,3,3,2,2,2,1,1,1,1,2,0,0,0,0
44,M_cap,110,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
44,M_cap,112,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
44,M_cap,120,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
44,M_cap,122,2,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3
44,M_cap,124,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
44,M_cap,126,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
44,M_cap,128,3,3,3,3,,,,,,,,,,,,,,,,
44,M_cap,130,3,3,3,3,3,3,3,3,3,3,2,1,1,0,0,0,0,0,0,0
44,M_cap,132,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3
44,M_cap,138,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3
44,M_cap,109,1,2,2,2,2,2,3,3,3,3,2,1,1,1,2,2,3,3,3,3
44,M_cap,111,1,1,1,2,3,3,3,2,2,2,1,1,1,1,2,3,3,3,3,3
44,M_cap,119,1,2,2,2,2,3,3,3,3,3,2,2,2,2,3,3,3,3,3,3
44,M_cap,121,1,1,2,2,3,3,3,3,3,3,1,1,1,2,2,3,3,3,3,3
44,M_cap,123,1,2,2,2,3,3,3,3,3,3,1,1,1,1,1,3,3,3,3,3
44,M_cap,125,1,2,2,2,2,3,3,3,3,3,2,1,1,2,2,3,3,3,3,3
44,M_cap,127,1,1,2,2,3,3,3,3,3,3,3,,,,,,,,,
44,M_cap,129,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,M_cap,131,1,1,2,2,2,2,3,3,3,3,2,1,1,1,1,2,2,2,2,3
44,M_cap,137,1,2,2,2,3,3,3,3,3,2,1,1,1,1,2,2,3,3,3,3
44,P_comp,102,2,3,3,3,3,3,3,3,3,2,2,2,2,2,3,3,3,3,3,3
44,P_comp,104,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
44,P_comp,106,2,3,3,3,3,3,3,3,3,3,2,2,2,3,3,3,3,3,3,3
44,P_comp,108,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3
44,P_comp,114,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
44,P_comp,116,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3
44,P_comp,118,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
44,P_comp,134,3,3,3,3,3,3,3,3,3,2,2,2,2,3,3,3,3,3,3,3
44,P_comp,136,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
44,P_comp,140,2,3,3,3,3,3,3,3,3,2,2,2,2,2,3,3,3,3,3,3
44,P_comp,101,1,2,2,3,3,3,3,3,3,2,2,1,1,1,2,2,3,3,3,3
44,P_comp,103,1,2,2,3,3,3,3,3,2,2,2,1,1,1,2,2,3,3,3,3
44,P_comp,105,1,1,2,2,3,3,3,3,3,2,2,1,1,1,1,2,3,3,3,3
44,P_comp,107,1,1,2,3,3,3,3,3,2,2,2,1,1,2,2,3,3,3,3,3
44,P_comp,113,1,2,3,3,3,3,3,3,3,3,2,1,1,2,3,3,3,3,3,3
44,P_comp,115,1,2,2,3,3,3,3,3,2,2,2,1,1,1,2,3,3,3,3,3
44,P_comp,117,1,2,2,2,3,3,3,3,3,2,2,1,1,1,2,3,3,3,3,3
44,P_comp,133,1,1,2,2,3,3,3,3,3,2,2,1,1,2,2,3,3,3,3,3
44,P_comp,135,1,2,2,3,3,3,3,3,3,2,2,1,1,1,2,3,3,3,3,3
44,P_comp,139,1,1,2,3,3,3,3,3,3,2,1,1,1,2,2,3,3,3,3,3
44,P_dam,141,1,1,1,2,2,3,3,3,3,2,2,1,1,1,1,2,3,3,3,3
44,P_dam,142,1,1,1,2,3,3,3,3,3,2,2,1,1,1,1,2,3,3,3,3
44,P_dam,143,1,1,2,3,3,3,3,3,2,0,0,0,0,0,0,0,0,0,0,0
44,P_dam,144,1,2,2,2,3,3,3,3,3,2,2,1,1,1,1,2,3,3,3,3
44,P_dam,145,1,2,2,3,3,3,3,3,3,3,2,2,2,2,2,3,3,3,3,3
44,P_dam,146,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,P_dam,147,1,2,2,2,3,3,,,,,,,,,,,,,,
44,P_dam,148,1,1,1,2,3,3,3,3,3,2,1,1,1,1,1,1,2,2,3,3
44,P_dam,149,1,2,2,2,3,3,3,3,2,2,2,1,1,1,1,2,3,3,3,3
44,P_dam,150,1,2,2,3,3,3,2,2,2,1,1,1,2,2,3,3,2,2,2,2
42,M_cap,202,,,,,,,,,,,,,3,3,3,3,3,3,3,3
42,M_cap,206,,,,,,,,,,,,,3,3,3,3,3,3,3,3
42,M_cap,208,,,,,,,,,,,,,3,3,3,3,3,3,3,3
42,M_cap,212,,,,,,,,,,,,,3,3,3,3,3,3,3,3
42,M_cap,216,,,,,,,,,,,,,3,3,3,3,3,3,3,3
42,M_cap,224,,,,,,,,,,,,,3,3,3,3,3,3,3,3
42,M_cap,228,,,,,,,,,,,,,3,3,3,3,3,3,3,3
42,M_cap,234,,,,,,,,,,,,,3,3,3,3,3,3,3,3
42,M_cap,238,,,,,,,,,,,,,3,3,3,3,3,3,3,3
42,M_cap,240,,,,,,,,,,,,,3,3,3,3,3,3,3,3
42,M_cap,201,,,,,,,,,,,,,1,1,1,2,3,3,3,3
42,M_cap,205,,,,,,,,,,,,,1,1,2,2,2,3,3,3
42,M_cap,207,,,,,,,,,,,,,1,2,2,3,3,3,3,3
