date,time,PAR_raw,PAR_calibrated_umol/m^2/s
2016-01-01, 00:15:00,0,0
2016-01-01, 00:30:00,0,0
2016-01-01, 00:45:00,0,0
2016-01-01, 01:00:00,0,0
2016-01-01, 01:15:00,0,0
2016-01-01, 01:30:00,0,0
2016-01-01, 01:45:00,0,0
2016-01-01, 02:00:00,0,0
2016-01-01, 02:15:00,0,0
2016-01-01, 02:30:00,0,0
2016-01-01, 02:45:00,0,0
2016-01-01, 03:00:00,0,0
2016-01-01, 03:15:00,0,0
2016-01-01, 03:30:00,0,0
2016-01-01, 03:45:00,0,0
2016-01-01, 04:00:00,0,0
2016-01-01, 04:15:00,0,0
2016-01-01, 04:30:00,0,0
2016-01-01, 04:45:00,0,0
2016-01-01, 05:00:00,0,0
2016-01-01, 05:15:00,0,0
2016-01-01, 05:30:00,0,0
2016-01-01, 05:45:00,0,0
2016-01-01, 06:00:00,0,0
2016-01-01, 06:15:00,0,0
2016-01-01, 06:30:00,0,0
2016-01-01, 06:45:00,0,0
2016-01-01, 07:00:00,0,0
2016-01-01, 07:15:00,11,1.09219
2016-01-01, 07:30:00,100,9.929
2016-01-01, 07:45:00,215,21.34735
2016-01-01, 08:00:00,318,31.57422
2016-01-01, 08:15:00,424,42.09896
2016-01-01, 08:30:00,544,54.01376
2016-01-01, 08:45:00,726,72.08454
2016-01-01, 09:00:00,1075,106.73675
2016-01-01, 09:15:00,1830,181.7007
2016-01-01, 09:30:00,2404,238.69316
2016-01-01, 09:45:00,3038,301.64302
2016-01-01, 10:00:00,3639,361.31631
2016-01-01, 10:15:00,4176,414.63504
2016-01-01, 10:30:00,4662,462.88998
2016-01-01, 10:45:00,5206,516.90374
2016-01-01, 11:00:00,5628,558.80412
2016-01-01, 11:15:00,5956,591.37124
2016-01-01, 11:30:00,6247,620.26463
2016-01-01, 11:45:00,6582,653.52678
2016-01-01, 12:00:00,6876,682.71804
2016-01-01, 12:15:00,7159,710.81711
2016-01-01, 12:30:00,7280,722.8312
2016-01-01, 12:45:00,7425,737.22825
2016-01-01, 13:00:00,7387,733.45523
2016-01-01, 13:15:00,7007,695.72503
