date,time,PAR_raw,PAR_calibrated_umol/m^2/s
2016-01-01, 00:15:00,0,0
2016-01-01, 00:30:00,0,0
2016-01-01, 00:45:00,0,0
2016-01-01, 01:00:00,0,0
2016-01-01, 01:15:00,0,0
2016-01-01, 01:30:00,0,0
2016-01-01, 01:45:00,0,0
2016-01-01, 02:00:00,0,0
2016-01-01, 02:15:00,0,0
2016-01-01, 02:30:00,0,0
2016-01-01, 02:45:00,0,0
2016-01-01, 03:00:00,0,0
2016-01-01, 03:15:00,0,0
2016-01-01, 03:30:00,0,0
2016-01-01, 03:45:00,0,0
2016-01-01, 04:00:00,0,0
2016-01-01, 04:15:00,0,0
2016-01-01, 04:30:00,0,0
2016-01-01, 04:45:00,0,0
2016-01-01, 05:00:00,0,0
2016-01-01, 05:15:00,0,0
2016-01-01, 05:30:00,0,0
2016-01-01, 05:45:00,0,0
2016-01-01, 06:00:00,0,0
2016-01-01, 06:15:00,0,0
2016-01-01, 06:30:00,0,0
2016-01-01, 06:45:00,0,0
2016-01-01, 07:00:00,3,0.21393
2016-01-01, 07:15:00,60,4.2786
2016-01-01, 07:30:00,228,16.25868
2016-01-01, 07:45:00,518,36.93858
2016-01-01, 08:00:00,1016,72.45096
2016-01-01, 08:15:00,1598,113.95338
2016-01-01, 08:30:00,2287,163.08597
2016-01-01, 08:45:00,3048,217.35288
2016-01-01, 09:00:00,3842,273.97302
2016-01-01, 09:15:00,4632,330.30792
2016-01-01, 09:30:00,5405,385.43055
2016-01-01, 09:45:00,6104,435.27624
2016-01-01, 10:00:00,6771,482.84001
2016-01-01, 10:15:00,7599,541.88469
2016-01-01, 10:30:00,8275,590.09025
2016-01-01, 10:45:00,9030,643.9293
2016-01-01, 11:00:00,9567,682.22277
2016-01-01, 11:15:00,10155,724.15305
2016-01-01, 11:30:00,10700,763.017
2016-01-01, 11:45:00,11207,799.17117
2016-01-01, 12:00:00,11422,814.50282
2016-01-01, 12:15:00,11810,842.1711
2016-01-01, 12:30:00,11777,839.81787
2016-01-01, 12:45:00,11805,841.81455
2016-01-01, 13:00:00,11738,837.03678
2016-01-01, 13:15:00,11022,785.97882
