Date,Site,Phosphate,Silicate,N_N,Ammonia,Total_N
11/4/14,25,0.088,11.006,0.58,0.019,
11/18/14,25,0.083,8.828,0.134,0.019,
12/2/14,25,0.07,2.739,0.391,0.019,
12/17/14,25,0.104,6.251,0.626,0.325,
12/30/14,25,0.098,6.18,0.3,0.451,
1/13/15,25,0.096,6.22,0.1,0.019,
1/27/15,25,0.107,6.079,0.441,0.019,
2/17/15,25,0.08,7.36,0.45,0.74,9.31
3/17/15,25,0.09,7.83,0.35,0.48,6.65
4/14/15,25,0.11,5.23,0.2,0.33,7.36
4/27/15,25,0.1,5.51,0.05,0.46,6.95
5/4/15,25,0.08,3.41,0.17,0.52,10.17
6/16/15,25,0.05,5.85,0.59,2.11,10.57
7/14/15,25,0.042,7.439,0.018,0.019,
7/28/15,25,0.068,6.8,0.284,0.395,
8/13/15,25,0.078,5.809,0.532,1.483,
8/25/15,25,0.046,11,0.23,1.369,
9/8/15,25,0.045,10.94,0.037,0.355,
9/22/15,25,0.042,8.828,0.504,2.703,
10/6/15,25,0.09,20.15,0.94,0.49,7.82
10/14/15,25,0.15,32.72,2.67,1.13,19.19
10/27/15,25,0.04,11.49,0.51,2.1,13.35
11/3/15,25,0.07,8.33,0.56,0.89,8.74
11/19/15,25,0.14,14.27,1.26,1.22,11.26
12/10/15,25,0.08,6.8,0.23,1.26,6.79
1/21/16,25,0.11,4.43,0.5,0.74,6.09
9/8/15,42,0.04,12.58,0.42,0.57,6.04
9/22/15,42,0.06,10.98,1.07,2.12,9.58
10/6/15,42,0.08,5.04,1.13,0.67,7.61
10/14/15,42,0.08,12.93,1.57,0.84,17.11
10/27/15,42,0.04,7.83,0.53,2.65,13.87
11/3/15,42,0.04,7.16,0.37,1.26,10.76
11/19/15,42,0.2,26.57,2.79,1.6,14.22
12/10/15,42,0.1,4.88,0.43,0.58,9.19
1/21/16,42,0.11,3.15,0.56,2.37,7.26
11/4/14,44,0.133,19.605,1.397,0.019,
11/18/14,44,0.11,8.357,0.634,0.019,
12/2/14,44,0.096,7.193,0.234,0.526,
12/17/14,44,0.129,4.438,0.753,0.557,
12/30/14,44,0.15,15.29,0.873,0.027,
1/13/15,44,0.115,7.534,0.284,0.019,
1/27/15,44,0.117,9.104,0.802,0.019,
2/17/15,44,0.11,8.52,0.88,0.74,11.22
3/17/15,44,0.09,9.61,0.5,1.12,16.23
4/14/15,44,0.12,9.33,0.57,1.28,15.26
4/27/15,44,0.16,8.95,0.48,0.95,11.75
5/4/15,44,0.09,5.89,0.43,2.32,24.38
6/16/15,44,0.11,12.39,2.83,3.74,30.03
7/14/15,44,0.084,10.913,0.719,0.019,
7/28/15,44,0.141,8.994,1.227,1.047,
8/13/15,44,0.133,9.122,1.699,3.097,
8/25/15,44,0.061,14.72,1.884,0.019,
9/8/15,44,0.154,12.928,1.431,0.745,
9/22/15,44,0.086,31.272,1.38,2.165,
10/6/15,44,0.07,6.74,1.26,0.86,10.67
10/14/15,44,0.11,37.24,3.51,1.68,20.25
10/27/15,44,0.07,15.07,1.67,3.02,24.11
11/3/15,44,0.1,13.81,1.22,0.63,7.27
11/19/15,44,0.21,12.54,2.1,5.46,23.32
12/10/15,44,0.1,14.49,0.83,1.07,17.62
1/21/16,44,0.14,9.53,0.88,0.49,7.6
11/4/14,HIMB,0.116,13.992,0.512,0.052,
11/18/14,HIMB,0.092,9.892,0.148,0.019,
12/2/14,HIMB,0.089,7.512,0.212,0.019,
12/17/14,HIMB,0.103,8.458,0.503,1.132,
12/30/14,HIMB,0.112,7.288,0.543,0.025,
1/13/15,HIMB,0.11,4.893,0.054,0.019,
1/27/15,HIMB,0.148,6.904,0.471,0.132,
2/17/15,HIMB,0.07,6.09,0.22,0.53,7.43
3/17/15,HIMB,0.1,10.07,0.37,0.66,7.17
4/14/15,HIMB,0.13,6.68,0.25,0.5,6.97
4/27/15,HIMB,0.15,5.97,0.18,0.48,7.05
5/4/15,HIMB,0.12,6.31,0.17,2.26,8.43
6/16/15,HIMB,0.06,6.74,0.56,1.06,9.12
7/14/15,HIMB,0.088,9.604,0.188,0.019,
7/28/15,HIMB,0.13,7.479,0.273,0.1,
8/13/15,HIMB,0.073,6.574,0.333,1.275,
8/25/15,HIMB,0.066,12.694,0.108,0.019,
9/8/15,HIMB,0.064,5.568,0.158,0.051,
9/22/15,HIMB,0.073,2.16,0.314,0.06,
10/6/15,HIMB,0.1,12.33,0.61,0.34,7.48
10/14/15,HIMB,0.13,33.21,1.84,0.58,10.78
10/27/15,HIMB,0.07,17.48,0.29,1.28,14.99
11/3/15,HIMB,0.09,9.66,0.98,0.64,7.62
11/19/15,HIMB,0.11,19.64,1.22,0.73,11.86
12/10/15,HIMB,0.1,5.14,0.44,0.52,7.84
1/21/16,HIMB,0.1,1.64,0.27,0.35,4.94
