reef,year_month,sediment_mean_grams_per_day
reef_20,2015-01-01,0.0758
reef_20,2015-02-01,0.194
reef_20,2015-03-01,0.0206
reef_20,2015-04-01,0.0173
reef_20,2015-05-01,0.0367
reef_20,2015-06-01,0.0262
reef_20,2015-07-01,0.0218
reef_20,2015-08-01,0.0167
reef_20,2015-09-01,0.0201
reef_20,2015-10-01,0.1369
reef_20,2015-11-01,0.1619
reef_20,2015-12-01,0.0224
reef_22,2015-01-01,0.033
reef_22,2015-02-01,0.058
reef_22,2015-03-01,0.0181
reef_22,2015-04-01,0.0166
reef_22,2015-05-01,0.0355
reef_22,2015-06-01,0.0223
reef_22,2015-07-01,0.0158
reef_22,2015-08-01,0.0461
reef_22,2015-09-01,0.0107
reef_22,2015-10-01,0.0259
reef_22,2015-11-01,0.0283
reef_22,2015-12-01,0.0263
reef_25,2015-01-01,0.0253
reef_25,2015-02-01,0.0288
reef_25,2015-03-01,0.0239
reef_25,2015-04-01,0.0216
reef_25,2015-05-01,0.0812
reef_25,2015-06-01,0.0475
reef_25,2015-07-01,0.0182
reef_25,2015-08-01,0.0196
reef_25,2015-09-01,0.0161
reef_25,2015-10-01,0.041
reef_25,2015-11-01,0.0339
reef_25,2015-12-01,0.0381
reef_3,2015-01-01,0.1083
reef_3,2015-02-01,0.1894
reef_3,2015-03-01,0.0434
reef_3,2015-04-01,0.0316
reef_3,2015-05-01,0.0291
reef_3,2015-06-01,0.0193
reef_3,2015-07-01,0.0189
reef_3,2015-08-01,0.0129
reef_3,2015-09-01,0.0195
reef_3,2015-10-01,0.0216
reef_3,2015-11-01,0.0583
reef_3,2015-12-01,0.0698
reef_42,2015-01-01,0.0582
reef_42,2015-02-01,0.0514
reef_42,2015-03-01,0.0374
reef_42,2015-04-01,0.0149
reef_42,2015-05-01,0.0342
reef_42,2015-06-01,0.0177
reef_42,2015-07-01,0.0053
reef_42,2015-08-01,0.0133
reef_42,2015-09-01,0.0859
reef_42,2015-10-01,0.053900000000000003
reef_42,2015-11-01,0.0488
reef_42,2015-12-01,0.0456
reef_43,2015-01-01,0.0485
reef_43,2015-02-01,0.0186
reef_43,2015-03-01,0.0219
reef_43,2015-04-01,0.0066
reef_43,2015-05-01,0.0214
reef_43,2015-06-01,0.0117
reef_43,2015-07-01,0.0044
reef_43,2015-08-01,0.0128
reef_43,2015-09-01,0.0482
reef_43,2015-10-01,0.0311
reef_43,2015-11-01,0.0372
reef_43,2015-12-01,0.0407
reef_44,2015-01-01,0.0438
reef_44,2015-02-01,0.0677
reef_44,2015-03-01,0.0489
reef_44,2015-04-01,0.0353
reef_44,2015-05-01,0.0563
reef_44,2015-06-01,0.0204
reef_44,2015-07-01,0.0292
reef_44,2015-08-01,0.0264
reef_44,2015-09-01,0.0859
reef_44,2015-10-01,0.0474
reef_44,2015-11-01,0.0659
reef_44,2015-12-01,0.0984
reef_5,2015-01-01,0.0404
reef_5,2015-02-01,0.0409
reef_5,2015-03-01,0.0275
reef_5,2015-04-01,0.0245
reef_5,2015-05-01,0.0347
reef_5,2015-06-01,0.0265
reef_5,2015-07-01,0.0405
reef_5,2015-08-01,0.0329
reef_5,2015-09-01,0.0239
reef_5,2015-10-01,0.0376
reef_5,2015-11-01,0.0439
reef_5,2015-12-01,0.0535
reef_himb,2015-01-01,0.032
reef_himb,2015-02-01,0.0589
reef_himb,2015-03-01,0.0389
reef_himb,2015-04-01,0.0627
reef_himb,2015-05-01,0.0545
reef_himb,2015-06-01,0.0197
reef_himb,2015-07-01,0.0553
reef_himb,2015-08-01,0.0584
reef_himb,2015-09-01,0.0267
reef_himb,2015-10-01,0.0986
reef_himb,2015-11-01,0.052
reef_himb,2015-12-01,0.1583
