"reef","year_month","bleached","clade_c_mean","clade_d_mean","total_zoox_mean"
"reef_25",2014-10-01,FALSE,385.4,NA,469.8
"reef_25",2014-10-01,TRUE,238.2,NA,182.7
"reef_25",2014-11-01,FALSE,355.736842105263,NA,473.105263157895
"reef_25",2014-11-01,TRUE,250.45,NA,181.55
"reef_25",2014-11-01,NA,NA,NA,NA
"reef_25",2014-12-01,FALSE,425.7,NA,445.1
"reef_25",2014-12-01,TRUE,428.2,NA,390
"reef_25",2015-01-01,FALSE,521.857142857143,NA,689.428571428571
"reef_25",2015-01-01,TRUE,505.125,NA,528.25
"reef_25",2015-01-01,NA,NA,NA,NA
"reef_25",2015-05-01,FALSE,482.444444444444,NA,490.333333333333
"reef_25",2015-05-01,TRUE,360.375,NA,291.75
"reef_25",2015-05-01,NA,NA,NA,NA
"reef_25",2015-08-01,FALSE,292.125,95.125,390.375
"reef_25",2015-08-01,TRUE,359,1,256
"reef_25",2015-08-01,NA,NA,NA,NA
"reef_25",2015-09-01,FALSE,404,101.428571428571,497.714285714286
"reef_25",2015-09-01,TRUE,291.888888888889,1,300
"reef_25",2015-09-01,NA,NA,NA,NA
"reef_25",2015-10-01,FALSE,219.5,107.25,312.5
"reef_25",2015-10-01,TRUE,137,4.17647058823529,304.647058823529
"reef_25",2015-10-01,NA,NA,NA,NA
"reef_25",2015-11-01,FALSE,369.5,130.333333333333,625
"reef_25",2015-11-01,TRUE,169.888888888889,5.77777777777778,114.555555555556
"reef_25",2015-11-01,NA,NA,NA,NA
"reef_25",2015-12-01,FALSE,318.769230769231,151.076923076923,563
"reef_25",2015-12-01,TRUE,495.058823529412,17.4117647058824,437.058823529412
"reef_25",2015-12-01,NA,NA,NA,NA
"reef_25",2016-01-01,FALSE,360.428571428571,175.714285714286,545.857142857143
"reef_25",2016-01-01,TRUE,355.333333333333,34.4444444444444,331.333333333333
"reef_25",2016-01-01,NA,NA,NA,NA
"reef_25",2016-02-01,FALSE,288.285714285714,149.857142857143,498.142857142857
